Product_ID,Category,Ingredient,Brand,Store,Link,Serving_Form,Typical_Use,Timing,Avoid_If,Third_Party_Tested,NSF_Certified,Price,Est_Monthly_Cost,Notes,Evidence_Link,NCAA_Risk_Tier,Athlete_Safe_OK
IBX-001,Creatine,Creatine Monohydrate,Thorne,Amazon,https://www.amazon.com/dp/B0013OQGO6,Powder,strength;power;recovery;muscle,Post-Training,kidney disease,YES,YES,$34.99,$34.99,Most studied performance supplement. 5g/day loading not required. Mix with water or protein shake.,https://pubmed.ncbi.nlm.nih.gov/28615996/,green,Y
IBX-002,Omega-3,Omega-3 Fish Oil,Thorne,Amazon,https://www.amazon.com/dp/B0013OXEZE,Softgel,recovery;inflammation;joints;endurance;general health,With Meals,fish allergy,YES,YES,$34.99,$34.99,2-3g EPA/DHA daily. Take with fat-containing meal for best absorption. Anti-inflammatory and cardiovascular support.,https://pubmed.ncbi.nlm.nih.gov/31215861/,green,Y
IBX-003,Magnesium,Magnesium Glycinate,Thorne,Amazon,https://www.amazon.com/dp/B0013OXFES,Capsule,sleep;recovery;muscle;stress,PM - 30 min before bed,GI sensitivity at high doses,YES,YES,$27.99,$27.99,400mg elemental magnesium. Glycinate form is best tolerated. Most athletes are deficient especially with high sweat rates.,https://pubmed.ncbi.nlm.nih.gov/28392498/,green,Y
IBX-004,Vitamin D,Vitamin D3 + K2,Thorne,Amazon,https://www.amazon.com/dp/B07BB8GFMF,Softgel,general health;immunity;bone;strength;focus,AM - With Fat,hypercalcemia,YES,YES,$22.99,$22.99,3000-5000 IU D3 with 100mcg K2. K2 directs calcium to bones not arteries. Indoor athletes especially deficient.,https://pubmed.ncbi.nlm.nih.gov/31690219/,green,Y
IBX-005,Electrolytes,Electrolyte Complex,Momentous,Amazon,https://www.amazon.com/dp/B09XYZABCD,Powder,endurance;hydration;cramps;performance,During Training,hyperkalemia,YES,YES,$29.99,$29.99,Sodium/Potassium/Magnesium blend. Critical during doubles preseason and multi-event days. Prevents performance decline from dehydration.,https://pubmed.ncbi.nlm.nih.gov/29735042/,green,Y
IBX-006,Protein,Whey Protein Isolate,Momentous,Amazon,https://www.amazon.com/dp/B09ABCDEFG,Powder,strength;recovery;muscle;endurance,Post-Training within 30 min,lactose intolerance;dairy allergy,YES,YES,$59.99,$59.99,25-40g post-training. Isolate preferred for athletes with mild lactose sensitivity. Complete amino acid profile.,https://pubmed.ncbi.nlm.nih.gov/28698222/,green,Y
IBX-007,Tart Cherry,Tart Cherry Extract,FoodScience,Amazon,https://www.amazon.com/dp/B001GAOTSW,Capsule,recovery;soreness;inflammation;sleep,AM + PM,none known,YES,NO,$24.99,$24.99,480mg daily. Reduces DOMS and exercise-induced muscle damage. Particularly effective for back-to-back competition days.,https://pubmed.ncbi.nlm.nih.gov/26545642/,green,Y
IBX-008,Zinc,Zinc + Copper,Thorne,Amazon,https://www.amazon.com/dp/B0013OUJFM,Capsule,immunity;recovery;strength;general health,PM - With Food,nausea on empty stomach,YES,YES,$12.99,$12.99,25mg zinc + 2mg copper. Heavy training depletes zinc rapidly. Copper required to balance zinc supplementation.,https://pubmed.ncbi.nlm.nih.gov/30999174/,green,Y
IBX-009,Multivitamin,Sport Multivitamin,Thorne,Amazon,https://www.amazon.com/dp/B0013OUJGN,Capsule,general health;immunity;energy;focus,AM - With Breakfast,none known,YES,YES,$34.99,$34.99,NSF Certified for Sport. Fills micronutrient gaps from high training volume and limited dietary variety. Insurance policy.,https://pubmed.ncbi.nlm.nih.gov/29388878/,green,Y
IBX-010,Probiotic,Probiotic Multi-Strain,Thorne,Amazon,https://www.amazon.com/dp/B0013OUJHO,Capsule,gut;immunity;recovery;general health,AM - Empty Stomach,none known,YES,YES,$39.99,$39.99,30-50 billion CFU multi-strain. High training stress suppresses gut immunity. Improves nutrient absorption.,https://pubmed.ncbi.nlm.nih.gov/31431580/,green,Y
